,artista,genero,tipo,nombre,año_lanzamiento,id,bio,oyentes,reproducciones,similar_1,similar_2,similar_3
0,Remedios Amaya,flamenco,track,El zarandeo,2000,7AlYBA5M9FVXDqN31cbExE,"Remedios Amaya (born María Dolores Amaya Vega) (born 1962 in Seville) is a flamenco singer. She was one of Camarón's favourite cantaoras (female flamenco singers), and they worked together on several occasions. She is one of the best contemporary cantaoras of festive styles. It is the happy palos (forms) which allow her to express all of her talent: bulerías, tangos, alegrías... but she is also comfortable executing other palos, like the soleá and seguiriya. <a href=""https://www.last.fm/music/Remedios+Amaya"">Read more on Last.fm</a>",26222.0,107806.0,Carmen Linares,José Mercé,Duquende
1,Nobuo Uematsu,flamenco,track,Vamo'alla flamenco,2000,4uqcES2h19TKAXQlciycrO,"Nobuo Uematsu (Born March 21, 1959) is best known for his composition for the Squaresoft (now Square Enix) games company throughout the 1980s and 1990s, most notably on the Final Fantasy series of games. Composing all his work on the keyboards, he has been hailed as one of the most popular and beloved composers of video game soundtracks. Uematsu enjoyed commercial success with the track “Eyes on Me” from Final Fantasy VIII, performed by Hong Kong singer Faye Wong (Wang Fei - 王菲). <a href=""https://www.last.fm/music/+noredirect/Nobuo+Uematsu"">Read more on Last.fm</a>",254244.0,16903106.0,浜渦正志,Mitsuto Suzuki,崎元仁
2,Maurice Ravel,flamenco,track,Flamenco Bolero,2000,0z6xGK2u3nSsbk9XeKYwZQ,"Joseph Maurice Ravel (7 March 1875 – 28 December 1937) was a French composer, pianist, and conductor. He is often linked with Impressionism alongside his contemporary Claude Debussy, although both composers rejected the label. During the 1920s and 1930s, Ravel was widely regarded as France's leading living composer. Born into a music-loving family, Ravel studied at the Paris Conservatoire, where he faced opposition from the conservative establishment, resulting in controversy over his treatment. <a href=""https://www.last.fm/music/Maurice+Ravel"">Read more on Last.fm</a>",1149180.0,12361697.0,Claude Debussy,Gustav Mahler,Robert Schumann
3,Mark Towns,flamenco,track,After the Rain,2000,6DjfWx0fXi0uQpedpvaCD9,"Mark Towns is a virtuoso guitarist and prolific composer best known for creating guitar-based instrumental Afro-Caribbean Jazz, producing a sound which blurs the lines between Latin Jazz, Flamenco Jazz, Salsa, Smooth Jazz, and Fusion. His music has the rare quality of being both esoterically niche oriented, yet universally accessible. Mark's music frequently conjures up magical and other-worldly elements, becoming a conduit to universal consciousness and an enlightening link to the beyond. <a href=""https://www.last.fm/music/Mark+Towns"">Read more on Last.fm</a>",3108.0,13786.0,Mario Bauzá,Nestor Torres,Tito Rodriguez & His Orchestra
4,Franz Schubert,flamenco,track,Tango Serenata (Ständchen),2000,1t91qQaPbOoo4pumaLih4W,"Franz Peter Schubert (31 January 1797 – 19 November 1828) was an Austrian composer of the late Classical and early Romantic eras. Despite his short life, Schubert left behind a vast oeuvre, including more than 600 secular vocal works (mainly lieder), seven complete symphonies, sacred music, operas, incidental music, and a large body of piano and chamber music. His major works include the art songs Erlkönig, Gretchen am Spinnrade, Ave Maria; the Trout Quintet, the unfinished Symphony No. <a href=""https://www.last.fm/music/Franz+Schubert"">Read more on Last.fm</a>",1402273.0,17127920.0,Robert Schumann,Ludwig van Beethoven,Johannes Brahms
5,Georges Moustaki,flamenco,track,Flamenco,2000,02jM23k8pgm9gcZpyIn8Wk,"Georges Moustaki (1934-2013) was a singer-songwriter of Greek Jewish origin. Moustaki was born Yussef Mustacchi on the 3rd May 1934 in Alexandria, Egypt, of Sephardic Jewish parents who had moved there from Corfu, and who ran a bookshop in the city. The family spoke Italian at home, but Georges (then Yussef) spoke Arabic with his friends and attended a French school to which his Francophile parents sent him and his sisters. In 1951 he moved to Paris <a href=""https://www.last.fm/music/Georges+Moustaki"">Read more on Last.fm</a>",99569.0,884824.0,Serge Reggiani,Jean Ferrat,Léo Ferré
6,El Arrebato,flamenco,track,Rumba Canalla,2000,2tnnbPGlhpY1420firAE7v,"Javier Labandón, más conocido por su nombre artístico El Arrebato, es un cantautor español de rumba-pop y flamenco. Comenzó su carrera artística sobre 1985 y su carrera discográfica en 1988 sacando su primer disco con el grupo Piel morena en el que le acompañaban 2 grandes amigos de su Sevilla natal . Con ellos cosechó sus primeros éxitos hasta el 8 de septiembre de 1998, cuando Piel Morena se disolvió definitivamente tras varios cambios en la formación. <a href=""https://www.last.fm/music/El+Arrebato"">Read more on Last.fm</a>",57678.0,487591.0,El Barrio,Andy & Lucas,Estopa
7,Tomaso Albinoni,flamenco,track,Tango Adagio,2000,3dVVMsZCVGxce42Nd9a0XC,"Tomaso Giovanni Albinoni (1671–1751) was a Venetian Baroque composer. While famous in his day as an opera composer, he is mainly remembered today for his instrumental music, some of which is regularly recorded. His “Adagio in G minor”, actually a later reconstruction, is one of the most frequently recorded pieces of Baroque music. Born to Antonio Albinoni (1634–1709), a wealthy paper merchant and nobleman in Venice, he studied violin and singing. <a href=""https://www.last.fm/music/+noredirect/Tomaso+Albinoni"">Read more on Last.fm</a>",144955.0,863669.0,Arcangelo Corelli,Georg Friedrich Händel,Georg Philipp Telemann
8,Johann Pachelbel,flamenco,track,Soleá Canon,2000,4EOgdSxqtZZGvOrzuyQAGz,"Johann Pachelbel (baptised 11 September 1653 – buried 9 March 1706) was a German composer, organist, and teacher who was a leading figure in the south German organ school during the middle Baroque period. He composed a substantial body of sacred and secular music and made significant contributions to the development of the chorale prelude and fugue, securing his place among the important composers of his era. During his lifetime, Pachelbel’s music was widely popular, and he taught many pupils. <a href=""https://www.last.fm/music/Johann+Pachelbel"">Read more on Last.fm</a>",820444.0,5403474.0,Jean Sibelius,Henry Purcell,Ludwig van Beethoven
9,Juana Amaya,flamenco,track,"Flamenco, Soleá por Bulerias, con baile",2000,73KHkT0m5CW2xWgJAxCmoA," <a href=""https://www.last.fm/music/Juana+Amaya"">Read more on Last.fm</a>",419.0,3538.0,Jose Galvan,Manuel Salado,Adela Campallo
10,Mariló García,flamenco,track,Sevillanas: Lenta (Cante y Guitarra),2000,0sKS1f30oQdGw903RR7fBN," <a href=""https://www.last.fm/music/Maril%C3%B3+Garc%C3%ADa"">Read more on Last.fm</a>",125.0,467.0,El Trini,Victor M. Rosa,Juana Amaya
11,Márquez El Zapatero,flamenco,track,"Flamenco, Soleá por Bulerias, Sólo de Cante",2000,2eLniDU3Fbg6QUTbreLUrF," <a href=""https://www.last.fm/music/m%C3%A1rquez+el+zapatero"">Read more on Last.fm</a>",69.0,452.0,Jose Galvan,Jesus Heredia,Melchora Ortega
12,Rocio Ruiz,flamenco,track,"Flamenco,Cante por Martinete",2000,77242gtA1Jymsu2Vl9LGxR," <a href=""https://www.last.fm/music/Rocio+Ruiz"">Read more on Last.fm</a>",84.0,300.0,Familias Gitanas de Moron de la Frontera,Grupo Maria del Mar Moreno,Familias Gitanas de Utrera
13,Antonio Vivaldi,flamenco,track,Primavera Tango (Four Seasons),2000,6mpQYMq1l1gU0ltQ0nO1IW,"Antonio Lucio Vivaldi (4 March 1678 – 28 July 1741) was an Italian composer, virtuoso violinist, impresario of Baroque music, and Roman Catholic priest. He is regarded as one of the leading Baroque composers, with a significant influence across Europe during his lifetime. Vivaldi contributed to developments in orchestration, violin technique, and programmatic music. He played a key role in consolidating the concerto form, particularly the solo concerto, into a widely recognised musical idiom. <a href=""https://www.last.fm/music/Antonio+Vivaldi"">Read more on Last.fm</a>",1888862.0,40687135.0,Georg Friedrich Händel,Johann Sebastian Bach,Wolfgang Amadeus Mozart
14,La Carmen,flamenco,track,Flamencos a volar,2000,5pG5LCEvPX175P4ukUCFmR," <a href=""https://www.last.fm/music/La+Carmen"">Read more on Last.fm</a>",170.0,624.0,Mesalla,Jorge Martinez,La Shica
15,Enaldo Barrera,flamenco,track,Flamenco,2000,5qhcnvZmA4lm7fClwUbGwB," <a href=""https://www.last.fm/music/Enaldo+Barrera"">Read more on Last.fm</a>",621.0,2832.0,La Combinación Vallenata,Jesus Manuel Estrada,Farid Ortiz
16,Chano Lobato,flamenco,track,Tanguillos de Cádiz,2000,1XNVIE3jSJUoGzehQN9m9g," <a href=""https://www.last.fm/music/Chano+Lobato"">Read more on Last.fm</a>",11114.0,41832.0,Antonio Mairena,Marina Heredia,El Lebrijano
17,Wolfgang Amadeus Mozart,flamenco,track,Rumba Allegro (Symphony no.40),2000,6Nm0bBmYBI74CyApeaVZhF,"Wolfgang Amadeus Mozart (27 January 1756 – 5 December 1791) was a prolific and influential composer of the Classical period. For many, Mozart is the greatest of all composers. The playful, mercurial genius, who died at 35, left over 600 works (including 41 symphonies, 27 piano concertos, 22 operas, numerous Mass settings, chamber music, piano sonatas, and songs), which reveal one of the most prodigious talents ever known in music. Classical in style <a href=""https://www.last.fm/music/Wolfgang+Amadeus+Mozart"">Read more on Last.fm</a>",2417021.0,69063685.0,Ludwig van Beethoven,Johann Sebastian Bach,Franz Schubert
18,Chiqui de Jerez,flamenco,track,El Teléfono de Mi Casa,2000,2L2ObU16rqwFvOIfbseBLX," <a href=""https://www.last.fm/music/Chiqui+de+Jerez"">Read more on Last.fm</a>",488.0,2168.0,Antonio De La Malena,Joaquín El Zambo,El Trini
19,Jose Fernandez,flamenco,track,Bulerias Solo Compas flamenco 190,2000,2w6JLw4LmLEl57uUKhRldQ,"Jose Fernandez first fell in love with flamenco in the heart of his Andalusian Gypsy family where everyone was a musician. From his grandfather, a well-known Flamenco singer & poet, he inherited his musical skills. As a boy, he wandered around gypsy ceremonies and camps, performing as a drummer. At the age of four he was recognized as a phenomenal child singer, which led a local newspaper to call him ""the Mozart of Flamenco."" Born in the era of great musical fusion of the '70s <a href=""https://www.last.fm/music/Jose+Fernandez"">Read more on Last.fm</a>",941.0,3084.0,Duquende,Carmen Linares,Chano Lobato
20,Ludwig van Beethoven,flamenco,track,Moonlight Rumba (Moonlight Sonata),2000,2edeklaJKKKx9ZyxDD2bSG,"Ludwig van Beethoven (baptised 17 December 1770 – 26 March 1827) was a German composer and pianist. He is regarded as one of the central figures in the history of Western music. His compositions, which are among the most frequently performed in the classical repertoire, mark a transition from the Classical period to the Romantic era. His career is often divided into three periods: the early period, ending around 1802, in which he developed his compositional style; the middle period <a href=""https://www.last.fm/music/Ludwig+van+Beethoven"">Read more on Last.fm</a>",2744051.0,57380632.0,Wolfgang Amadeus Mozart,Johann Sebastian Bach,Johannes Brahms
21,Johann Sebastian Bach,flamenco,track,Tango Aria (Air on the G String),2000,0MJgtHcv1Wjv4Wxc9nJATo,"Johann Sebastian Bach (31 March 1685 – 28 July 1750) was a German composer and musician of the late Baroque period. He composed a wide range of music across various instruments and forms, including orchestral works such as the Brandenburg Concertos; solo instrumental pieces like the cello suites and the sonatas and partitas for solo violin; keyboard compositions including the Goldberg Variations and The Well-Tempered Clavier; organ works such as <a href=""https://www.last.fm/music/Johann+Sebastian+Bach"">Read more on Last.fm</a>",2409686.0,93303532.0,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Georg Friedrich Händel
22,Levantito,flamenco,track,El Jardín de Mis Sueños,2000,5PGy4rzoVYQwMTfa4Svvgr," <a href=""https://www.last.fm/music/Levantito"">Read more on Last.fm</a>",96.0,661.0,Decai,La Negra,Xesus Pimentel
23,El Trini,flamenco,track,Sevillanas: Media (Cante y Guitarra),2000,1OkfxOngQIpLS7atBmCQSQ," <a href=""https://www.last.fm/music/El+Trini"">Read more on Last.fm</a>",1684.0,7452.0,Juan María Real,Antonio De La Malena,El Turronero
24,Dorantes,flamenco,track,Orobroy,2000,3QnvDtqgg8KGq8QypBbsv0," <a href=""https://www.last.fm/music/Dorantes"">Read more on Last.fm</a>",6881.0,60630.0,David Peña Dorantes,Caracter Flamenco,Mayte Martín
25,Felix Mendelssohn,flamenco,track,Andante Rumba (Symphony 5),2000,1XvJsSuXS1iZxlpYojYj0W,"Jakob Ludwig Felix Mendelssohn Bartholdy, known as Felix Mendelssohn (1809–1847), was a German composer, pianist, organist, and conductor of the early Romantic period. He was born on 3 February 1809 in Hamburg, Germany, into a prominent Jewish family; his grandfather was the philosopher Moses Mendelssohn. Recognised as a child prodigy, Mendelssohn’s family encouraged his musical pursuits only after he showed serious dedication to the art. Mendelssohn achieved early success in Germany and later travelled extensively throughout Europe. <a href=""https://www.last.fm/music/Felix+Mendelssohn"">Read more on Last.fm</a>",1043760.0,10185678.0,Robert Schumann,Johannes Brahms,Franz Schubert
26,La Macanita,flamenco,track,Cantiñas del Marinero,2000,3ro8lFaoIHAv2chG3hq4xg," <a href=""https://www.last.fm/music/La+Macanita"">Read more on Last.fm</a>",12081.0,41657.0,Remedios Amaya,Diego Carrasco,Carmen Linares
27,Grupo de María del Mar Moreno,flamenco,track,Tarantos con baile flamenco completo,2000,3cH2C7YxjpZQ7yhEwjs2AW," <a href=""https://www.last.fm/music/Grupo+de+Mar%C3%ADa+Del+Mar+Moreno"">Read more on Last.fm</a>",103.0,835.0,Grupo de Eva La Yerbabuena,Manuel Salado,Grupo de Juana Amaya
28,Victor M. Rosa,flamenco,track,Granaina: Sólo Guitarra,2000,14mstquH2GHwuYmVp9qL1y," <a href=""https://www.last.fm/music/Victor+M.+Rosa"">Read more on Last.fm</a>",350.0,953.0,lalo tejada,Juan María Real,El Trini
29,Traditional,flamenco,track,Medina Azahara (Granainas),2000,5GW7kNyJpij82MhhnkIqAA,"Traditional music is an umbrella term for all folk music that has made it down the generations largely thanks to oral tradition. The obscure and random inception of such songs means that the original author(s) of the song is rarely documented. Rather, the song by time becomes part of a country's or ethnic group's canon of folk songs, usually sung by groups of people performing a custom particular to their culture (ex. pub songs, sea shanties, football anthems, lullabies, children's songs, working songs, dancing tunes etc..). <a href=""https://www.last.fm/music/Traditional"">Read more on Last.fm</a>",567946.0,6006551.0,Craig Duncan,The Chieftains,Burl Ives
30,Pedro Campos,flamenco,track,Sevillanas: Rocieras Lentas (Tambor y Flauta),2000,2ZWMF5j3taR7DESgZLq8FU," <a href=""https://www.last.fm/music/Pedro+Campos"">Read more on Last.fm</a>",4791.0,12117.0,The L Bit,Markus Lange And David Dexter,De BoogieBoys
31,Ottmar Liebert,flamenco,track,Surrender 2 Love - 2000 Remastered,2000,0d92SBPncK0zSR6IzhXxIM,"German Ottmar Liebert composes, performs and records music in a ""Nouveau Flamenco"" style, which mixes elements of flamenco with jazz, bossa nova, and other genres. Ottmar Liebert's music can be difficult to categorize, which is welcomed by the artist himself. It is usually placed in the New Age section at record stores, or under world music from Spain. He has recorded with his band, Luna Negra, since 1990. Liebert describes Luna Negra as a ""rubber band""--it changes with the seasons, members are always coming in or out. <a href=""https://www.last.fm/music/Ottmar+Liebert"">Read more on Last.fm</a>",159977.0,1645335.0,Ottmar Liebert & Luna Negra,Jesse Cook,Armik
32,Chonchi Heredia,flamenco,track,El Camino de Mi Destino,2000,6IMAOBRpQt9NLxheodkd18," <a href=""https://www.last.fm/music/Chonchi+Heredia"">Read more on Last.fm</a>",4289.0,12637.0,Radio Macandé,Gabriel Moreno,El Pali
33,Ramon Montoya,flamenco,track,Rondeña,2000,6ZFNcrtjNOn9bGrlPgnvt7," <a href=""https://www.last.fm/music/+noredirect/Ramon+Montoya"">Read more on Last.fm</a>",449.0,4209.0,Niño Ricardo,Ronald Radford,Juan Martín
34,Ana Salazar,flamenco,track,Tu Eres para Mi,2000,28CDw1t8f0LwNQ0X3aUrGV," <a href=""https://www.last.fm/music/Ana+Salazar"">Read more on Last.fm</a>",2379.0,9719.0,Tanja Solnik,La Susi,Consuelo Luz
35,Niño Ricardo,flamenco,track,Farrucas,2000,3cr6W8t5INBKw7zSupZY8R,"Niño Ricardo is one the great guitar masters. His name can be found alongside Ramón Montoya, Javier Molina and Manolo de Huelva. He was a majestic guitarist, who managed to extract the maximum amount of expressiveness from his instrument, and who invented new styles of guitar playing for each cante (style), and for this reason he is considered superior to his own teachers. He was not a virtuoso guitarist, mainly concerned with technique, although he controlled it without any problems. <a href=""https://www.last.fm/music/+noredirect/Ni%C3%B1o+Ricardo"">Read more on Last.fm</a>",4446.0,27096.0,Melchor de Marchena,Ramón Montoya,Luis Maravilla
36,Los Activos,flamenco,track,Divertimiento Callejero,2000,515ndth3zLBPv4SY6JkJEZ,"Los Activos, el grupo más percusivo de flamenco, es una banda de Huelva, originalmente centrada en la exploración de los ritmos del flamenco. Incluyen instrumentales en los que la percusión es el instrumento dominante. <a href=""https://www.last.fm/music/Los+Activos"">Read more on Last.fm</a>",277.0,2781.0,Mártires Del Compás,Alcohol Jazz,Raimundo Amador
37,Manuel de Angustias,flamenco,track,Te Tengo Que Querer,2000,3ADzQCu8UnyZAnBie5bV57," <a href=""https://www.last.fm/music/Manuel+de+Angustias"">Read more on Last.fm</a>",480.0,1902.0,Ginera Ortega,Israel Paz,Potito con Estrella Morente
38,Acoustic Alchemy,flamenco,track,The Last Flamenco,2000,0MyvQtdefpdadVUgGm4JD4,"Acoustic Alchemy is a British contemporary instrumental and smooth jazz band formed in London, England in the early 1980s (c. 1981), originally fronted by acoustic guitarists Nick Webb and Simon James. The band is currently fronted by Greg Carmichael and Miles Gilderdale. During the 1980s, there was little grateful audience for this form of music in the UK, and the big players in the genre were all American. The pioneering sound of two duelling acoustic guitars - Simon James on nylon and Nick Webb on steel - was a fresh touch on the genre <a href=""https://www.last.fm/music/Acoustic+Alchemy"">Read more on Last.fm</a>",187027.0,3688312.0,Rippingtons,Peter White,Jeff Golub
39,植松 伸夫,flamenco,track,Vamo alla Flamenco,2000,4B55Q4PWuniTmPFr1Opw2Y,"Japanese video game composer, best known for scoring the majority of titles in the Final Fantasy series. He is regarded as one of the most famous and respected composers in the video game community.[1][2] Uematsu, a self-taught musician, began playing the piano at the age of eleven or twelve, with Elton John as his biggest influence. <a href=""https://www.last.fm/music/+noredirect/%E6%A4%8D%E6%9D%BE+%E4%BC%B8%E5%A4%AB"">Read more on Last.fm</a>",39203.0,655456.0,浜渦正志,Mitsuto Suzuki,崎元仁
40,Coro Flamenco de la Hermandad de la Asunción de Cantillana,flamenco,track,El Angelito,2000,1DzMgYzPaH4H6ugXNAfWFv," <a href=""https://www.last.fm/music/Coro+Flamenco+de+la+Hermandad+de+la+Asunci%C3%B3n+de+Cantillana"">Read more on Last.fm</a>",21.0,45.0,Las Nieves de Olivares,BM Las Cigarreras,Perlita de Huelva
41,Marc Miralta,flamenco,track,Segment,2000,5r0Sny9el5GZiaQirZ5PHO," <a href=""https://www.last.fm/music/Marc+Miralta"">Read more on Last.fm</a>",1129.0,5610.0,Javier Colina,Albert Sanz,"Benavent, Di Geraldo, Pardo"
42,Adela Campallo,flamenco,track,"Flamenco, Soleá por Bulerias, Escobillas",2000,2xMzk81C0UmrOyZCvwQDXW," <a href=""https://www.last.fm/music/Adela+Campallo"">Read more on Last.fm</a>",87.0,662.0,Juana Amaya,José Galván,Solo Compas
43,EA,flamenco,track,Mójame,2000,5qpNvZUPzuduchr8B0LMKT,"There is more than one artist with this name: 1) Ea is a funeral doom metal band, named after an ancient Sumerian god. Nothing is known about the band or their members though they are rumoured to be from Russia. Ea's lyrics are written in the dead Akkadian language, which was recreated according to the results of archeological studies and the band's concept is based on the sacral verses of ancient civilizations. Discography: 2006 - Ea Taesse (Solitude Productions) <a href=""https://www.last.fm/music/Ea"">Read more on Last.fm</a>",19770.0,293880.0,Skepticism,Pantheist,Esoteric
44,Navajita Platea,flamenco,track,Cruzar la Frontera,2000,0nu06AgSeg0GclCw89HEe9," <a href=""https://www.last.fm/music/+noredirect/Navajita+Platea"">Read more on Last.fm</a>",15308.0,70429.0,José El Francés,Nolasco,Siempre Asi
45,EthnoDance,flamenco,track,Flamenco Tapas,2000,3suKYRNw3MPIZ1o7VVSEE1," <a href=""https://www.last.fm/music/EthnoDance"">Read more on Last.fm</a>",23.0,115.0,,,
46,Govi,flamenco,track,Treasure Bay,2000,4iUru0NvOX9v7RUNQfgOUI,"Guitarist, Born in Germany, currently living in Hawaii. In his teens, Govi performed as the lead guitarist in bands that played everything from rock to blues, including early Beatles and Pink Floyd. These experiences led to his first professional gig as a member of a group that played original material and won a national band competition and a recording contract which allowed them to tour throughout Germany. Govi spent eight years living and studying in India <a href=""https://www.last.fm/music/Govi"">Read more on Last.fm</a>",148417.0,1449697.0,Armik,Johannes Linstead,Jesse Cook
47,Sólo Compás Flamenco,flamenco,track,Bulerias con guitarra 2,2000,2Imaoj29idY2dHiu9E0Cgf," <a href=""https://www.last.fm/music/S%C3%B3lo+Comp%C3%A1s+Flamenco"">Read more on Last.fm</a>",339.0,2105.0,Manuel Salado,Jose Galvan,Juana Amaya
48,El Trin,flamenco,track,"Rosas: Cante, Guitarra y Compás",2000,2VorCLgcLqfNIbKOR00V5p," <a href=""https://www.last.fm/music/El+Trin"">Read more on Last.fm</a>",34.0,45.0,El Trini,Montse Cortés,Israel Fernández
49,Maria del Mar Moreno,flamenco,track,La Caña completa sin baile flamenco,2000,5sUT6TJc8QXJ9HbBanm4hJ," <a href=""https://www.last.fm/music/Maria+del+Mar+Moreno"">Read more on Last.fm</a>",93.0,597.0,Manuel Salado,Sólo Compás Flamenco,Eva la yerbabuena
50,Color Flamenco,flamenco,track,El Mundo de los Sueños,2000,4igT31F8RVgXkw9hbgSOQs," <a href=""https://www.last.fm/music/color+flamenco"">Read more on Last.fm</a>",44.0,192.0,Mártires Del Compás,,
51,Familias Gitanas de Utrera,flamenco,track,Bulerias con palmas y cante - Utrera,2000,3b2ROK2k8RuCyUAnQfiKsf," <a href=""https://www.last.fm/music/Familias+Gitanas+de+Utrera"">Read more on Last.fm</a>",44.0,114.0,Familias Gitanas de Moron de la Frontera,Grupo Maria del Mar Moreno,Jose Fernandez
52,El Agujetas,flamenco,track,Solea de la Ilusion,2000,0nUX9bdcf9IEYUam2E0r60,"Manuel de los Santos Pastor, also known as El Agujetas or el El Agujeta, (May 17, 1939 – December 25, 2015) was a Flamenco singer. He was born in Rota, Spain. Son of singer Agujetas el Viejo. Both father and son follow the school of Manuel Torre, representative of the tradition of Jerez, and father of singers Dolores Agujetas and Antonio Agujetas. He worked in his father's forge until he went to work in Madrid as a teenager. He took part in the recording of the Magna Antología del Cante, compiled by Blas Vega. <a href=""https://www.last.fm/music/El+Agujetas"">Read more on Last.fm</a>",1657.0,16435.0,Manuel Agujetas,Tia Anica La Piriñaca,Agujetas
53,Bruno Gennaro,flamenco,track,MALAGUENA,2000,69m5n8nB9AiqhE9xtpy67t," <a href=""https://www.last.fm/music/Bruno+Gennaro"">Read more on Last.fm</a>",200.0,1821.0,Karoly Csecsodi,Amigo Baden,Flamenco Guitar Masters
54,Vicente Soto Sordera,flamenco,track,A la Moreno,2000,3iBEzlrHVH0dACBj21Yhxk," <a href=""https://www.last.fm/music/Vicente+Soto+Sordera"">Read more on Last.fm</a>",3477.0,9596.0,Miguel de Tena,Sonia Miranda,El Pele
55,Carlos Piñana,flamenco,track,Cal-Libri,2000,6FcyHtkNymPGu0finGT2z6," <a href=""https://www.last.fm/music/+noredirect/Carlos+Pi%C3%B1ana"">Read more on Last.fm</a>",922.0,5811.0,Pepe Justicia,Gerardo Nuñez,Niño Josele
56,Mártires del Compás,flamenco,track,"Echale, Echale",2000,742zVcDQdjB32aqFrwgu6x,"This band came from Jerez, Spain. Their mix reached styles such as Heavy, Rock&Roll or Blues, but is rooted in Flamenco. Chicho is the band leader. Furthermore, the band tries to take both a poetic and political (social justice) approach to their music The sense of humor in their songs tends to be bitter. The band dissolved in 2007 but you can still find Chicho (lead singer) in the central bars of Seville...talking about what he sings, or singing about what he talks... <a href=""https://www.last.fm/music/+noredirect/M%C3%A1rtires+Del+Comp%C3%A1s"">Read more on Last.fm</a>",57133.0,440628.0,G5,Calima,José Mercé
57,Curro Fernández,flamenco,track,Altozano,2000,46QGAmBU1SWACpGg7pRFhy," <a href=""https://www.last.fm/music/Curro+Fern%C3%A1ndez"">Read more on Last.fm</a>",8.0,27.0,,,
58,Omar Bashir,flamenco,track,Pharaon,2000,32WTytaCW7TcYTFyeoo8AA,"Omar Bashir was born in 1970 in Budapest, Hungary. He started playing Oud at 5, next to his father, Munir Bashir, the Iraqi virtuoso who first made the Oud a solo recital instrument and popularized it in the West. At 7, Omar joined the Baghdad Music and Ballet school. He would eventually become a teacher there and set up his own band of 24 musicians specialized in traditional Iraqi music. They performed regularly across Egypt, Russia, Turkey and many Arabic countries. <a href=""https://www.last.fm/music/Omar+Bashir"">Read more on Last.fm</a>",14899.0,82777.0,Simon Shaheen,Alekos K.Vretos,Charbel Rouhana
59,Ruben Romero & Wayne Wesley Johnson,flamenco,track,Malaguena,2000,26hJSfIc1metDrbsVzqa86," <a href=""https://www.last.fm/music/Ruben+Romero+&+Wayne+Wesley+Johnson"">Read more on Last.fm</a>",45.0,578.0,Ruben Romero,,
60,Familias Gitanas de Moron de la Frontera,flamenco,track,Bulerias con palmas y cante - Moron de la Frontera,2000,44utOqZIt42BFmQhusvHyv," <a href=""https://www.last.fm/music/Familias+Gitanas+de+Moron+de+la+Frontera"">Read more on Last.fm</a>",29.0,89.0,Familias Gitanas de Utrera,Rocio Ruiz,Jose Fernandez
61,Solo Compas,flamenco,track,tangos con guitarra 152 por minuto,2000,7mqTqDNLeEmj9D06Itwkex," <a href=""https://www.last.fm/music/Solo+Compas"">Read more on Last.fm</a>",1061.0,8095.0,Manuel Salado,Sevillanas,Chicuelo
62,Pepe Habichuela,flamenco,track,Habichuela en Rama,2000,4K7yldZHSYyBCmTlpSPYrE,"He belongs to one of the great flamenco dynasties, the Habichuelas, and to the generation of Paco de Lucía, Camarón de la Isla, Enrique Morente, Manolo Sanlúcar... which has opened the way for the current generation of young flamencos and whose work has brought about the enormous popularity that this art form enjoys nowadays. From Pepe´s trajectory, it is possible to perceive the surprising evolution of flamenco in the last few years clearly. <a href=""https://www.last.fm/music/Pepe+Habichuela"">Read more on Last.fm</a>",25954.0,104367.0,Rafael Riqueni,Moraíto,Diego Carrasco
63,Tomatito,flamenco,track,Mundi,2000,6MorCeEmDJFRg5H1zP34vR,"José Fernández Torres, known as Tomatito (born Almería, 1958), is a Spanish flamenco guitarist. He was born among great flamenco guitarists, including his father Tomate and uncle Niño Miguel. Tomatito became a flamenco sensation at an early age when he was discovered by famed guitarist Paco de Lucía and began working in part with legendary flamenco singer Camarón de la Isla. In 1979, the trio produced a hit called ""La Leyenda del Tiempo."" Their partnership continued until Camarón's death in 1992. <a href=""https://www.last.fm/music/Tomatito"">Read more on Last.fm</a>",74461.0,458109.0,Vicente Amigo,Paco de Lucía,Camarón de la Isla
64,Fosforito,flamenco,track,Vete Sin Mirar Atrás - Bulerías por Soleá,2000,7iz6X77adTSDSg3TEgMAGc,"Spanish Christian artist. <a href=""https://www.last.fm/music/Fosforito"">Read more on Last.fm</a>",10509.0,60174.0,El Cabrero,El Chocolate,Manolo Caracol
65,Eva La Yerbabuena,flamenco,track,Tarantos sin baile flamenco,2000,5XAWF7ptS5up3m5jTCS7qO," <a href=""https://www.last.fm/music/Eva+la+yerbabuena"">Read more on Last.fm</a>",89.0,284.0,Jose Galvan,Maria del Mar Moreno,Grupo Maria del Mar Moreno
66,Cesar Manrique,flamenco,track,"Sin Tu Calor, Pt. 2",2000,5NgCfw9QveXaHGGUwUSd2y," <a href=""https://www.last.fm/music/Cesar+Manrique"">Read more on Last.fm</a>",104.0,966.0,Harun Tekin,Deniz Arcak,Aga B
67,La Chica,flamenco,track,Otra Vez - Por Tangos,2000,6PAcHTEgb4kDxGTG1Lv4ID," <a href=""https://www.last.fm/music/La+Chica"">Read more on Last.fm</a>",39803.0,280180.0,Hyphen Hyphen,Ana Carla Maza,Flavia Coelho
