artista,genero,tipo,nombre,año_lanzamiento,id,bio,oyentes,reproducciones,similar_1,similar_2,similar_3
Johann Sebastian Bach,orchestra,track,"Orchestral Suite No. 2 In B Minor, BWV 1067: VII. Badinerie",2000,5ZSPtKKCO4FJmrwlW8zCFN,"Johann Sebastian Bach (31 March 1685 – 28 July 1750) was a German composer and musician of the late Baroque period. He composed a wide range of music across various instruments and forms, including orchestral works such as the Brandenburg Concertos; solo instrumental pieces like the cello suites and the sonatas and partitas for solo violin; keyboard compositions including the Goldberg Variations and The Well-Tempered Clavier; organ works such as <a href=""https://www.last.fm/music/Johann+Sebastian+Bach"">Read more on Last.fm</a>",2409686,93303532,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Georg Friedrich Händel
Enrique Iglesias,orchestra,track,Cielito lindo,2000,7bkEKiH9b1zNWBHnpWMXe3,"Enrique Miguel Iglesias Preysler (born 8 May 1975) is a Spanish singer and songwriter. He started his recording career in the mid-1990s on the Mexican label Fonovisa and became the bestselling Spanish-language act of the decade. By the turn of the millennium, he made a successful crossover into the mainstream English-language market. He signed a multi-album deal with Universal Music Group for US$68 million with Universal Music Latino to release his Spanish albums and Interscope Records to release English albums. <a href=""https://www.last.fm/music/Enrique+Iglesias"">Read more on Last.fm</a>",2411508,43935043,Ricky Martin,Luis Fonsi,Alejandro Sanz
Hans Zimmer,orchestra,track,Honor Him,2000,0p21vI2StdprWPtAGftM5c,"Hans Florian Zimmer (born 12 September 1957) is a German film score composer and record producer. Since the 1980s, he has composed music for over 150 films. His works include The Lion King, for which he won the Academy Award for Best Original Score in 1995, the Pirates of the Caribbean series, The Thin Red Line, Gladiator, The Last Samurai, and The Dark Knight Trilogy. Zimmer spent the early part of his career in the United Kingdom before moving to the United States. <a href=""https://www.last.fm/music/Hans+Zimmer"">Read more on Last.fm</a>",2426895,126090296,Hans Zimmer & James Newton Howard,Ludwig Göransson,James Horner
Olov Helge,orchestra,track,Beauty and the Beast: Beauty and the Beast (arr. for orchestra),2000,6cTRDbgv62QlBN96RFfHiN," <a href=""https://www.last.fm/music/Olov+Helge"">Read more on Last.fm</a>",5162,17749,Anders Soldh,The Royal Festival Orchestra,London Pops Orchestra
Georges Bizet,orchestra,track,Je crois entendre encore - Voice,2000,4ve6dUZKNx7xh3grnzDP9T,"Georges Bizet (1838–1875) was a French composer and pianist of the romantic era. Bizet was born on 25th October 1838 in Paris. He was registered with the legal name Alexandre-César-Léopold Bizet, but was baptised Georges Bizet and was always known by the latter name. A child prodigy, he entered the prestigious Paris Conservatory of Music a fortnight before his tenth birthday. In 1857 he shared a prize offered by Jacques Offenbach for a setting of the one-act operetta Le docteur Miracle, and won the Prix de Rome. <a href=""https://www.last.fm/music/Georges+Bizet"">Read more on Last.fm</a>",841442,6638523,Léo Delibes,Giuseppe Verdi,Gioacchino Rossini
Phil Collins,orchestra,track,Tarzan (arr. A. Soldh): Tarzan: You'll Be in My Heart (arr. for orchestra),2000,4ufCYDnUoWKEszXfuxmg8r,"Philip David Charles Collins (born 30 January 1951) is an English singer, musician, songwriter, record producer and actor. He was the drummer and lead singer of the rock band Genesis and also has a career as a solo performer. Between 1982 and 1990, Collins scored three UK and seven US number-one singles as a solo artist. When his work with Genesis, his work with other artists, as well as his solo career is totalled, he had more US top 40 singles than any other artist during the 1980s. <a href=""https://www.last.fm/music/Phil+Collins"">Read more on Last.fm</a>",2840737,53496139,Genesis,Mike & The Mechanics,Peter Gabriel
Johann Sebastian Bach,orchestra,track,"Overture (Suite) No. 2 in B Minor, BWV 1067: VII. Badinerie",2000,3kvBEbswxMAx6QKc10SCon,"Johann Sebastian Bach (31 March 1685 – 28 July 1750) was a German composer and musician of the late Baroque period. He composed a wide range of music across various instruments and forms, including orchestral works such as the Brandenburg Concertos; solo instrumental pieces like the cello suites and the sonatas and partitas for solo violin; keyboard compositions including the Goldberg Variations and The Well-Tempered Clavier; organ works such as <a href=""https://www.last.fm/music/Johann+Sebastian+Bach"">Read more on Last.fm</a>",2409686,93303532,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Georg Friedrich Händel
Niccolò Paganini,orchestra,track,"Paganini: 24 Caprices, Op. 1: No. 24 in A Minor",2000,6cC6h5E351deEGFd7Kh9uy,"Niccolò Paganini was born in Genoa, Italy, on 27 October 1782, to Antonio and Teresa (née Bocciardo) Paganini. According to his biographer Peter Lichtenthal, Paganini first learned to play the mandolin from his father at the age of five, and quickly moved to the violin by the age of seven, and began composing before he turned eight. He gave his first public concert at the age of 12. In his early teens he studied under various teachers, including Giovanni Servetto and Alessandro Rolla <a href=""https://www.last.fm/music/+noredirect/Niccol%C3%B2+Paganini"">Read more on Last.fm</a>",393296,3410361,Camille Saint-Saëns,Johannes Brahms,Antonín Dvořák
Felix Mendelssohn,orchestra,track,"Symphony No. 3 in A Minor, Op. 56, MWV N 18 ""Scottish"": 4. Allegro vivacissimo - Allegro maestoso assai",2000,0dYaZeUGUgjmRnjyvR1RWg,"Jakob Ludwig Felix Mendelssohn Bartholdy, known as Felix Mendelssohn (1809–1847), was a German composer, pianist, organist, and conductor of the early Romantic period. He was born on 3 February 1809 in Hamburg, Germany, into a prominent Jewish family; his grandfather was the philosopher Moses Mendelssohn. Recognised as a child prodigy, Mendelssohn’s family encouraged his musical pursuits only after he showed serious dedication to the art. Mendelssohn achieved early success in Germany and later travelled extensively throughout Europe. <a href=""https://www.last.fm/music/Felix+Mendelssohn"">Read more on Last.fm</a>",1043760,10185678,Robert Schumann,Johannes Brahms,Franz Schubert
Cologne Chamber Orchestra,orchestra,track,"Brandenburg Concerto No. 6 In B Flat Major, BWV 1051: II. Adagio Ma Non Tanto",2000,3ajF79pBnSFgboc3RlqAgF,"The Cologne Chamber Orchestra (German: Kölner Kammerorchester) is Germany’s oldest chamber orchestra, founded in 1923 on the initiative of conductor Hermann Abendroth. Its inaugural concert took place on 30 November 1923 in the new Kunstvereinsgebäude am Friesenplatz in Cologne, conducted by Gustav Classens—then a student of Abendroth—marking the beginning of a century‑long commitment to what came to be known as “werkgerechte” (work‑faithful) interpretation. <a href=""https://www.last.fm/music/Cologne+Chamber+Orchestra"">Read more on Last.fm</a>",45132,326653,Chiyan Wong,Ignaz Friedman,William Boyce
Phil Collins,orchestra,track,Brother Bear: On My Way (arr. for orchestra),2000,653FedMz6mHD3dtDPt1t7R,"Philip David Charles Collins (born 30 January 1951) is an English singer, musician, songwriter, record producer and actor. He was the drummer and lead singer of the rock band Genesis and also has a career as a solo performer. Between 1982 and 1990, Collins scored three UK and seven US number-one singles as a solo artist. When his work with Genesis, his work with other artists, as well as his solo career is totalled, he had more US top 40 singles than any other artist during the 1980s. <a href=""https://www.last.fm/music/Phil+Collins"">Read more on Last.fm</a>",2840737,53496139,Genesis,Mike & The Mechanics,Peter Gabriel
Johann Sebastian Bach,orchestra,track,"Violin Concerto in A Minor, BWV 1041: II. Andante",2000,6iZyZPHl5Gg6A24unyzwk4,"Johann Sebastian Bach (31 March 1685 – 28 July 1750) was a German composer and musician of the late Baroque period. He composed a wide range of music across various instruments and forms, including orchestral works such as the Brandenburg Concertos; solo instrumental pieces like the cello suites and the sonatas and partitas for solo violin; keyboard compositions including the Goldberg Variations and The Well-Tempered Clavier; organ works such as <a href=""https://www.last.fm/music/Johann+Sebastian+Bach"">Read more on Last.fm</a>",2409686,93303532,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Georg Friedrich Händel
Alan Menken,orchestra,track,The Little Mermaid: Part of Your World (arr. for orchestra),2000,1woA76rgRgf007W91VCM4N,"Alan Menken (born July 22, 1949 in New Rochelle, New York, United States) is an American musical theatre and film composer, and pianist. Menken has collaborated with several renowned lyricists including Howard Ashman (1950-1991), Tim Rice and Stephen Schwartz. For his work he has won eight Academy Awards as well as ten additional nominations. His best known work includes the Disney animated movies, The Little Mermaid, Beauty and the Beast, Aladdin <a href=""https://www.last.fm/music/Alan+Menken"">Read more on Last.fm</a>",679060,11097281,Brad Kane,Jodi Benson,George Bruns
Klaus Badelt,orchestra,track,"Sorrow - From ""Gladiator"" Soundtrack",2000,51TrZwyPfasxmD3Q66IzYx,"Klaus Badelt (born 12 June 1967 in Frankfurt, West Germany) is a German film composer, known for his collaborations with Hans Zimmer, helping to write scores for dozens of critically acclaimed films including The Thin Red Line, The Prince of Egypt, Gladiator, and Pirates of the Caribbean: The Curse of the Black Pearl. Independently, he is known for his work on Hollywood blockbuster films such as Equilibrium, K-19: The Widowmaker, Basic, and TMNT, and for his work in French cinema. <a href=""https://www.last.fm/music/Klaus+Badelt"">Read more on Last.fm</a>",767256,12407680,Geoff Zanelli,Steve Jablonsky,James Horner
John Williams,orchestra,track,Indiana Jones Theme,2000,60ZYLVPmSNY9r0Uquaivvs,"There are at least five artists with this name; 1) John Towner Williams (born February 8, 1932) is an American composer, conductor, and pianist. With a career spanning over six decades, he has composed some of the most popular, recognizable, and critically acclaimed film scores in cinematic history, including those of the Star Wars series, Jaws, Close Encounters of the Third Kind, Superman, E.T. the Extra-Terrestrial, the Indiana Jones series, the first two Home Alone films <a href=""https://www.last.fm/music/John+Williams"">Read more on Last.fm</a>",2075733,63107596,James Horner,Nicholas Hooper,Patrick Doyle
Hans Zimmer,orchestra,track,Earth,2000,4mWNwMmBADo548bT4xYtDo,"Hans Florian Zimmer (born 12 September 1957) is a German film score composer and record producer. Since the 1980s, he has composed music for over 150 films. His works include The Lion King, for which he won the Academy Award for Best Original Score in 1995, the Pirates of the Caribbean series, The Thin Red Line, Gladiator, The Last Samurai, and The Dark Knight Trilogy. Zimmer spent the early part of his career in the United Kingdom before moving to the United States. <a href=""https://www.last.fm/music/Hans+Zimmer"">Read more on Last.fm</a>",2426895,126090296,Hans Zimmer & James Newton Howard,Ludwig Göransson,James Horner
Cologne Chamber Orchestra,orchestra,track,"Brandenburg Concerto No. 1 In F Major, BWV 1046: II. Adagio",2000,3R9yUuBVT3kXjuSLc7fXdB,"The Cologne Chamber Orchestra (German: Kölner Kammerorchester) is Germany’s oldest chamber orchestra, founded in 1923 on the initiative of conductor Hermann Abendroth. Its inaugural concert took place on 30 November 1923 in the new Kunstvereinsgebäude am Friesenplatz in Cologne, conducted by Gustav Classens—then a student of Abendroth—marking the beginning of a century‑long commitment to what came to be known as “werkgerechte” (work‑faithful) interpretation. <a href=""https://www.last.fm/music/Cologne+Chamber+Orchestra"">Read more on Last.fm</a>",45132,326653,Chiyan Wong,Ignaz Friedman,William Boyce
Charles Gounod,orchestra,track,"Ave Maria, CG 89a (After J.S. Bach: Prelude in C Major, BWV 846)",2000,6jACgUeToLFBNDM4AwjDot,"Charles Gounod (1818-1893) was a French composer, best known for his Ave Maria as well as his operas Faust and Roméo et Juliette. Gounod wrote his first opera, Sapho, in 1851, with the help of Pauline Viardot, but had no great theatrical success until Faust (1859), based on the play by Goethe. This remains his best-known work, and although it took a while to achieve great renown, it eventually became one of the most frequently staged operas of all time. <a href=""https://www.last.fm/music/Charles+Gounod"">Read more on Last.fm</a>",255816,1193342,Gaetano Donizetti,Giuseppe Verdi,Vincenzo Bellini
Lisa Gerrard,orchestra,track,"The Wheat - From ""Gladiator"" Soundtrack",2000,4sTSfR2cq7gUxUbiU1w60F,"Lisa Gerrard (born 12 April 1961) is an Australian musician, singer and composer who rose to prominence as part of the music group Dead Can Dance with music partner Brendan Perry. In addition to singing, she is an instrumentalist for much of her work, most prolifically using the yangqin (a Chinese hammered dulcimer). Since her career began in 1981, Gerrard has been involved in a wide range of projects. She received a Golden Globe Award for the music score to the film Gladiator, on which she collaborated with Hans Zimmer. <a href=""https://www.last.fm/music/Lisa+Gerrard"">Read more on Last.fm</a>",507115,7226378,Lisa Gerrard & Patrick Cassidy,Lisa Gerrard & Pieter Bourke,Dead Can Dance
Hans Zimmer,orchestra,track,Progeny,2000,0SWfNpzeFpP0PXa7bujUmz,"Hans Florian Zimmer (born 12 September 1957) is a German film score composer and record producer. Since the 1980s, he has composed music for over 150 films. His works include The Lion King, for which he won the Academy Award for Best Original Score in 1995, the Pirates of the Caribbean series, The Thin Red Line, Gladiator, The Last Samurai, and The Dark Knight Trilogy. Zimmer spent the early part of his career in the United Kingdom before moving to the United States. <a href=""https://www.last.fm/music/Hans+Zimmer"">Read more on Last.fm</a>",2426895,126090296,Hans Zimmer & James Newton Howard,Ludwig Göransson,James Horner
Terry Gilkyson,orchestra,track,The Jungle Book: The Bare Necessities (arr. for orchestra),2000,1nAypwe9QgBWBCvgqDh8WN,"Hamilton H. Gilkyson III (June 17, 1916–October 15, 1999), better known as Terry Gilkyson, was an American folk singer, composer, and lyricist. He may not be well-remembered today but his influence on pop music and folk music is significant. Terry and the members of his group, the Easy Riders, made contributions as songwriters and performers. Along the way they left us with songs that are very familiar to anyone who listened to music in the 50s: ""Marianne"" and ""Memories Are Made of This"". <a href=""https://www.last.fm/music/Terry+Gilkyson"">Read more on Last.fm</a>",9474,30258,Darleen Carr,Sterling Holloway,J. Pat O'Malley
George Michael,orchestra,track,"Brother, can you spare a dime [Americana]",2000,6c8ygcnESx3AQ6jFNPVdGt,"George Michael (born Georgios Kyriacos Panayiotou; 25 June 1963 – 25 December 2016) was an English singer, songwriter, and record producer. He is one of the best-selling musicians of all time, with his sales estimated at between 100 million to 125 million records worldwide. A prominent figure in popular music, Michael was known as a creative force in songwriting, vocal performance, and visual presentation. He achieved 10 number-one songs on the US Billboard Hot 100 and 13 number-one songs on the UK Singles Chart. <a href=""https://www.last.fm/music/George+Michael"">Read more on Last.fm</a>",2813790,46557113,Wham!,Simply Red,Lisa Stansfield
Franz Liszt,orchestra,track,"A Dante Symphony, S.109: 1. Inferno",2000,1dg09xDUvkYDSpxVivrA34,"Franz Liszt (22 October 1811 – 31 July 1886) was a Hungarian composer, virtuoso pianist, conductor, and teacher of the Romantic period. With a career spanning over six decades, he produced a substantial and varied body of work and is considered one of the most prolific and influential composers of his time. His piano compositions remain widely performed and recorded. Liszt began his career as a concert pianist at a young age, studying under Carl Czerny and Antonio Salieri. <a href=""https://www.last.fm/music/Franz+Liszt"">Read more on Last.fm</a>",1285616,15439542,Robert Schumann,Frédéric Chopin,Sergei Rachmaninoff
Aqua,orchestra,track,"Funiculì, funiculà",2000,7yaKFIoHeeDzzFYTZl4L2d,"Aqua is a name shared by multiple music groups from different countries and genres. 1. Aqua is Danish-Norwegian dance-pop group formed in 1989 originally under the name Joyspeed, later renamed Aqua in 1994. They gained international fame in the late 1990s and early 2000s with hits such as ""Barbie Girl."" Their first three singles reached number one on the UK Singles Chart. They released two albums, ""Aquarium"" in 1997 and ""Aquarius"" in 2000, before disbanding in 2001. <a href=""https://www.last.fm/music/Aqua"">Read more on Last.fm</a>",1383031,14603981,Toy-Box,Vengaboys,A*Teens
Anders Soldh,orchestra,track,Mulan (arr. A. Soldh): Mulan: Reflection (arr. for orchestra),2000,0MWAwBgvEfViEgLoxQgOC9," <a href=""https://www.last.fm/music/Anders+Soldh"">Read more on Last.fm</a>",3358,9536,Olov Helge,The Royal Festival Orchestra,London Pops Orchestra
Nobuo Uematsu,orchestra,track,Prima Vista Orchestra,2000,5fengTQWEzOZqUUcXuFpl2,"Nobuo Uematsu (Born March 21, 1959) is best known for his composition for the Squaresoft (now Square Enix) games company throughout the 1980s and 1990s, most notably on the Final Fantasy series of games. Composing all his work on the keyboards, he has been hailed as one of the most popular and beloved composers of video game soundtracks. Uematsu enjoyed commercial success with the track “Eyes on Me” from Final Fantasy VIII, performed by Hong Kong singer Faye Wong (Wang Fei - 王菲). <a href=""https://www.last.fm/music/+noredirect/Nobuo+Uematsu"">Read more on Last.fm</a>",254244,16903106,浜渦正志,Mitsuto Suzuki,崎元仁
Anders Soldh,orchestra,track,Mulan (arr. A. Soldh): Mulan: I'll Make a Man Out of You (arr. for orchestra),2000,5R2qAPviQ0boNA3HYVnHVx," <a href=""https://www.last.fm/music/Anders+Soldh"">Read more on Last.fm</a>",3358,9536,Olov Helge,The Royal Festival Orchestra,London Pops Orchestra
George Frideric Handel,orchestra,track,Rinaldo / Act 2: Lascia ch'io pianga,2000,6xZGds6ClLaEPeyep1C8si,"George Frideric Handel (as he called himself after his change of nationality, as he signed himself, and as he is known in the English-speaking world) (1685–1759) was a German/English baroque composer who was a leading composer of concerti grossi, operas, and oratorios. Born Georg Friedrich Händel on 23rd February 1685 in Halle an der Saale (Germany), Handel lived most of his life in England, and became English by Act of Parliament in 1727. His most famous piece is the Messiah <a href=""https://www.last.fm/music/+noredirect/George+Frideric+Handel"">Read more on Last.fm</a>",477897,5906949,Georg Philipp Telemann,Antonio Vivaldi,Johann Sebastian Bach
The Brian Setzer Orchestra,orchestra,track,Americano,2000,4RbKBuzAMn0e3dNpxH5Fql,"Brian Setzer (born April 10, 1959 in New York) is an American guitarist, singer and songwriter whose popular big band orchestra is most appreciated commercially for their swinging take on Christmas holiday classics. Early in his career Setzer was a member of the NYC band Bloodless Pharaohs, and later fronted the popular rockabilly revival band, Stray Cats. The Stray Cats particularly caught America's attention with the 1982 album Built for Speed <a href=""https://www.last.fm/music/The+Brian+Setzer+Orchestra"">Read more on Last.fm</a>",324230,3805130,Brian Setzer,Big Bad Voodoo Daddy,Stray Cats
Paul Anka,orchestra,track,A Steel Guitar and a Glass of Wine (with Ray Ellis & His Orchestra),2000,54xxVmu4bycyQ7psgJdzrh,"Paul Albert Anka (born July 30, 1941, in Ottawa, Ontario, Canada) is a Lebanese-Canadian singer and songwriter. He began singing as a child, first starting in the St Elijah Syrian Orthodox Church choir in Ottawa. As a student at Ottawa's Fisher Park High School he was part of a trio called the Bobby Soxers. Encouraged by his parents, at age 14 he recorded his first single, I Confess. In 1957 he went to New York City where he auditioned for ABC, singing a lovestruck verse he had written to a former babysitter, Diana Ayoub. <a href=""https://www.last.fm/music/Paul+Anka"">Read more on Last.fm</a>",1092655,9005686,Neil Sedaka,Jimmy Clanton,Bobby Darin
Alan Menken,orchestra,track,Aladdin: Prince Ali (arr. for orchestra),2000,0b0k4dwKimAo5LyICQoai4,"Alan Menken (born July 22, 1949 in New Rochelle, New York, United States) is an American musical theatre and film composer, and pianist. Menken has collaborated with several renowned lyricists including Howard Ashman (1950-1991), Tim Rice and Stephen Schwartz. For his work he has won eight Academy Awards as well as ten additional nominations. His best known work includes the Disney animated movies, The Little Mermaid, Beauty and the Beast, Aladdin <a href=""https://www.last.fm/music/Alan+Menken"">Read more on Last.fm</a>",679060,11097281,Brad Kane,Jodi Benson,George Bruns
Olov Helge,orchestra,track,The Little Mermaid: Under the Sea (arr. for orchestra),2000,16Ry1eKtKGCYXgb3ULVLaO," <a href=""https://www.last.fm/music/Olov+Helge"">Read more on Last.fm</a>",5162,17749,Anders Soldh,The Royal Festival Orchestra,London Pops Orchestra
Savage Garden,orchestra,track,'O sole mio,2000,3rXPIqmvwFaeoW21UmSbEV,"From Woodridge, Australia to worldwide success, Darren Hayes and Daniel Jones were responsible for some of the most widely-known pop songs of the late '90s and early '00s. Appropriately enough, given their Anne Rice-inspired name, Savage Garden veered between lush ballads (Truly Madly Deeply, I Knew I Loved You) and up-tempo dance numbers (I Want You, The Animal Song) with a deftness that put many of their contemporaries in the shade. In July of 1996, under Roadshow Music, the duo released their debut single I Want You. <a href=""https://www.last.fm/music/Savage+Garden"">Read more on Last.fm</a>",1251944,17663131,Darren Hayes,Boyzone,Backstreet Boys
Eduardo di Capua,orchestra,track,O sole mio (arr. P. Breiner),2000,26ePk6rU08ETzQbH06zOi8,"Eduardo di Capua, born in Naples, Italy on March 12, 1865, is best remembered for composing the Italian song ""O Sole Mio"", along with Giovanni Cappuro. He is also responsible for composing other important Neapolitan songs such as ""Torno a Surriento"" and ""Santa Lucia Luntana. di Capua studied at the San Pietro Conservatory in Majilla. His first songs were influenced by a chance encounter in 1887 with poet Cinquegrana. ""O Sole Mio"" was not composed in Italy, but in Odessa, Russia, while on a trip. <a href=""https://www.last.fm/music/Eduardo+di+Capua"">Read more on Last.fm</a>",57212,167995,Ernesto De Curtis,Luigi Denza,Salvatore Cardillo
Charles Gounod,orchestra,track,"Roméo et Juliette, CG 9, Act I: Ah, je veux vivre",2000,5vKLwzGYTZArmaDIZzIY6C,"Charles Gounod (1818-1893) was a French composer, best known for his Ave Maria as well as his operas Faust and Roméo et Juliette. Gounod wrote his first opera, Sapho, in 1851, with the help of Pauline Viardot, but had no great theatrical success until Faust (1859), based on the play by Goethe. This remains his best-known work, and although it took a while to achieve great renown, it eventually became one of the most frequently staged operas of all time. <a href=""https://www.last.fm/music/Charles+Gounod"">Read more on Last.fm</a>",255816,1193342,Gaetano Donizetti,Giuseppe Verdi,Vincenzo Bellini
Ennio Morricone,orchestra,track,Malena,2000,6uB3iOS4ohGTMnPq6MOJib,"Ennio Morricone, Grand Officer OMRI (10 November 1928 - 6 July 2020) was an Italian composer, orchestrator, conductor, and former trumpet player. He composed a wide range of music styles, making him one of the most versatile, experimental and influential composers of all time, working in any medium. Since 1946 Morricone composed over 500 scores for cinema and television, as well as over 100 classical works. His filmography includes over 70 award-winning films <a href=""https://www.last.fm/music/Ennio+Morricone"">Read more on Last.fm</a>",1646225,38756332,Luis Bacalov,John Barry,Jerry Goldsmith
